PLAYER_NAME,MIN,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,USG_PCT,MINUTES_5GAME_AVG,POINTS_5GAME_AVG,REBOUNDS_5GAME_AVG,ASSISTS_5GAME_AVG,STEALS_5GAME_AVG,BLOCKS_5GAME_AVG,OPP_TEAM,COURT,BTB,TEAM_E_OFF_RATING,TEAM_E_DEF_RATING,TEAM_E_NET_RATING,TEAM_E_PACE,TEAM_AST_RANK,TEAM_STL_RANK,TEAM_BLK_RANK,TEAM_PTS_RANK,TEAM_PLUS_MINUS_RANK,OPP_E_OFF_RATING,OPP_E_DEF_RATING,OPP_E_NET_RATING,OPP_E_PACE,OPP_AST_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PTS_RANK,OPP_PLUS_MINUS_RANK
Precious Achiuwa,19,4,5,2,0,1,21.05,,,,,,,CHI,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,112.4,113.2,-0.8,98.6,23,9,18,22,20
Precious Achiuwa,8,5,3,0,0,0,25.0,,,,,,,BKN,Home,True,114.1,111.2,2.9,97.8,29,17,29,19,5,110.4,113.1,-2.7,99.4,20,28,12,25,22
Precious Achiuwa,16,2,5,0,0,1,12.5,,,,,,,BOS,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,120.2,109.0,11.2,99.5,14,27,1,2,1
Precious Achiuwa,5,0,0,0,0,0,0.0,,,,,,,MIL,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,116.0,112.8,3.2,102.2,17,26,15,4,11
Precious Achiuwa,19,0,4,1,1,0,5.26,13.4,2.2,3.4,0.6,0.2,0.4,CHI,Away,True,114.1,111.2,2.9,97.8,29,17,29,19,5,112.4,113.2,-0.8,98.6,23,9,18,22,20
Precious Achiuwa,9,0,3,0,0,0,11.11,11.4,1.4,3.0,0.2,0.2,0.2,SAC,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.8,112.9,0.9,101.1,7,13,28,9,17
Precious Achiuwa,27,2,6,0,1,0,3.7,15.2,0.8,3.6,0.2,0.4,0.2,MIA,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,111.7,109.5,2.2,98.5,18,15,30,26,16
Precious Achiuwa,22,8,9,0,0,2,22.73,16.4,2.0,4.4,0.2,0.4,0.4,OKC,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,117.0,109.1,7.9,102.3,11,1,1,3,2
Precious Achiuwa,16,6,5,0,0,1,25.0,18.6,3.2,5.4,0.2,0.4,0.6,SAS,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,107.5,113.8,-6.3,103.5,2,22,3,23,25
Precious Achiuwa,27,19,12,3,1,2,51.85,20.2,7.0,7.0,0.6,0.4,1.0,TOR,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,109.8,115.8,-6.0,101.8,6,10,19,21,24
Precious Achiuwa,26,9,16,1,1,1,30.77,23.6,8.8,9.6,0.8,0.6,1.2,DET,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,107.2,116.0,-8.8,102.2,22,30,20,27,28
Precious Achiuwa,7,0,3,1,0,0,0.0,19.6,8.4,9.0,1.0,0.4,1.2,BKN,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,110.4,113.1,-2.7,99.4,20,28,12,25,22
Precious Achiuwa,25,9,5,3,0,2,16.0,20.2,8.6,8.2,1.6,0.4,1.2,DEN,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,115.6,110.5,5.0,99.1,3,21,10,14,4
Precious Achiuwa,18,6,9,1,0,0,27.78,20.6,8.6,9.0,1.8,0.4,1.0,GSW,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,114.7,112.4,2.3,101.8,4,23,23,8,12
Precious Achiuwa,20,2,5,4,0,1,10.0,19.2,5.2,7.6,2.0,0.2,0.8,SAC,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.8,112.9,0.9,101.1,7,13,28,9,17
Precious Achiuwa,24,4,7,2,2,0,8.33,18.8,4.2,5.8,2.2,0.4,0.6,POR,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,105.0,114.5,-9.5,100.0,30,12,27,29,27
Precious Achiuwa,24,13,8,1,0,2,45.83,22.2,6.8,6.8,2.2,0.4,1.0,PHI,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.8,111.0,2.8,100.1,24,1,6,15,9
Precious Achiuwa,36,8,9,0,2,3,22.22,24.4,6.6,7.6,1.6,0.8,1.2,PHI,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.8,111.0,2.8,100.1,24,1,6,15,9
